"","bin_000-contigs_B1","bin_000-contigs_B3","bin_000-contigs_B4","bin_000-contigs_E1","bin_000-contigs_E2","bin_000-contigs_E3"
"scaffold_3036_partial_339213_360201_15",0,0,3,0,0,0
"scaffold_3036_partial_339213_360201_16",0,0,0,0,0,0
"scaffold_3036_partial_339213_360201_17",0,1,0,0,0,0
"scaffold_3036_partial_339213_360201_18",0,3,6,0,0,0
"scaffold_3036_partial_339213_360201_19",0,11,45,0,0,0
"scaffold_55421_1",0,0,0,0,0,0
"scaffold_55421_2",0,0,0,0,0,0
"scaffold_1205_partial_82712_103851_1",0,3,25,7,17,6
"scaffold_1205_partial_82712_103851_2",0,0,0,0,1,0
"scaffold_1205_partial_82712_103851_3",1,0,1,1,2,0
"scaffold_1205_partial_82712_103851_4",0,0,0,0,0,0
"scaffold_1205_partial_82712_103851_5",1,0,9,0,1,0
"scaffold_1205_partial_82712_103851_6",0,0,5,3,0,0
"scaffold_1205_partial_82712_103851_7",0,0,2,1,0,5
"scaffold_1205_partial_82712_103851_8",0,0,5,0,4,2
"scaffold_1205_partial_82712_103851_9",0,0,5,4,4,4
"scaffold_1205_partial_82712_103851_10",44,11,252,34,187,80
"scaffold_1205_partial_82712_103851_11",22,5,210,26,105,77
"scaffold_1205_partial_82712_103851_12",0,0,0,0,3,0
"scaffold_1205_partial_82712_103851_13",7,1,70,8,77,18
"scaffold_1205_partial_82712_103851_14",6,2,13,2,5,6
"scaffold_1205_partial_82712_103851_15",25,9,84,19,115,50
"scaffold_1205_partial_82712_103851_16",48,2,36,34,159,82
"scaffold_1205_partial_82712_103851_17",0,0,1,0,0,0
"scaffold_1205_partial_82712_103851_18",1,0,3,0,0,0
"scaffold_20197_1",0,0,0,0,0,0
"scaffold_20197_2",0,0,0,0,0,0
"scaffold_20197_3",0,0,0,0,0,0
"scaffold_20197_4",0,0,0,0,0,0
"scaffold_20197_5",0,0,0,0,0,0
"scaffold_20197_6",0,0,0,0,0,0
"scaffold_51928_1",0,0,0,0,0,0
"scaffold_82082_1",0,0,0,0,0,0
"scaffold_74749_1",0,0,0,0,0,0
"scaffold_74749_2",0,0,0,0,0,0
"scaffold_15704_1",0,0,0,0,0,0
"scaffold_63282_1",0,0,4,0,0,0
"scaffold_63282_2",0,0,0,0,0,0
"scaffold_5778_1",0,0,0,0,0,0
"scaffold_5778_2",0,0,0,0,0,0
"scaffold_5778_3",0,0,0,0,0,0
"scaffold_5778_4",0,0,0,0,0,0
"scaffold_5778_5",0,0,0,0,0,0
"scaffold_5778_6",0,0,0,0,0,0
"scaffold_5778_7",0,0,0,0,0,0
"scaffold_5778_8",0,0,1,0,0,0
"scaffold_5778_9",0,0,0,0,0,0
"scaffold_5778_10",0,0,0,0,0,0
"scaffold_5778_11",0,0,0,0,0,0
"scaffold_5778_12",0,0,0,0,0,0
"scaffold_5778_13",0,0,0,0,0,0
"scaffold_5778_14",0,0,0,0,0,0
"scaffold_65299_1",0,0,0,0,0,0
"scaffold_65299_2",0,0,0,0,0,0
"scaffold_35083_1",0,0,0,0,0,0
"scaffold_35083_2",0,0,0,0,0,0
"scaffold_35083_3",0,0,0,0,0,0
"scaffold_51915_1",0,0,0,0,0,0
"scaffold_51915_2",0,0,0,0,0,0
"scaffold_45016_1",0,0,0,0,0,0
"scaffold_45016_2",0,0,0,0,0,0
"scaffold_56944_1",0,0,0,0,0,0
"scaffold_50965_1",0,0,0,0,0,0
"scaffold_50965_2",0,0,0,0,0,0
"scaffold_19321_1",0,0,0,0,0,0
"scaffold_19321_2",0,0,0,0,0,0
"scaffold_19321_3",0,0,0,0,0,0
"scaffold_34506_1",0,0,0,0,0,0
